"","Region","Year","Turnout","Abstentions","Invalid votes","Blank votes","Unempl_rate_total","Unempl_rate_less25","Unempl_rate_16_19","Unempl_rate_20_24","GDPpc","GrowthGDPAnnual","PctUniversityGraduates","four","eight","eleven","fifteen"
"37","Ceuta",2004,0.635,0.365,0.0088,0.0143,10.8525,31.62,43.115,25.3225,17540,0.015,0.355,1,0,0,0
"38","Ceuta",2008,0.6332,0.3668,0.0066,0.0094,17.45,39.565,48.2325,36.295,20765,0.018,0.393,0,1,0,0
"39","Ceuta",2011,0.5507,0.4493,0.0145,0.0154,27.745,63.6,91.1725,55.53,19115,-0.03,0.431,0,0,1,0
"40","Ceuta",2015,0.5646,0.4354,0.0149,0.0128,27.5475,79.4475,NA,77.8825,19399,0.039,0.469,0,0,0,1
"41","Comunitat_Valenciana",2004,0.777,0.223,0.0065,0.0145,10.4575,20.6925,29.3675,18.08,18660,0.03,0.335,1,0,0,0
"42","Comunitat_Valenciana",2008,0.7884,0.2116,0.0067,0.0085,11.9775,26.1225,41.8625,21.285,21878,0.012,0.355,0,1,0,0
"43","Comunitat_Valenciana",2011,0.7549,0.2451,0.012,0.011,23.985,51.3975,68.595,47.8575,20124,-0.019,0.399,0,0,1,0
"44","Comunitat_Valenciana",2015,0.7658,0.2342,0.0086,0.006,22.78,48.4,63.1125,44.5625,20586,0.045,0.423,0,0,0,1
"45","Extremadura",2004,0.793,0.207,0.0073,0.0126,17.25,27.2425,37.6225,24.22,13118,0.03,0.239,1,0,0,0
"46","Extremadura",2008,0.7638,0.2362,0.0079,0.0123,15.35,29.075,39.445,25.6075,16633,0.033,0.266,0,1,0,0
"47","Extremadura",2011,0.7531,0.2469,0.0114,0.0119,25.08,50.99,64.5725,47.7725,15916,-0.028,0.298,0,0,1,0
"48","Extremadura",2015,0.7411,0.2589,0.0132,0.0072,29.095,55.2825,79.205,50.5975,16166,0.046,0.325,0,0,0,1
"49","Galicia",2004,0.71,0.29,0.0071,0.0156,13.5375,25.5375,27.7675,25.2,16341,0.037,0.189,1,0,0,0
"50","Galicia",2008,0.7048,0.2952,0.0071,0.0104,8.635,21.06,31.005,18.6725,21226,0.037,0.221,0,1,0,0
"51","Galicia",2011,0.7177,0.2823,0.0162,0.0163,17.26,37.7625,48.55,35.5325,20143,-0.021,0.243,0,0,1,0
"52","Galicia",2015,0.73,0.27,0.0137,0.0106,19.3075,43.57,63.52,40.7225,20431,0.039,0.265,0,0,0,1
"53","La_Rioja",2004,0.795,0.205,0.0077,0.0205,5.9475,12.35,17.4975,11.155,21603,0.034,0.18,1,0,0,0
"54","La_Rioja",2008,0.7929,0.2071,0.007,0.011,7.8925,21.7625,48.4925,15.895,25986,0.019,0.208,0,1,0,0
"55","La_Rioja",2011,0.7572,0.2428,0.0159,0.0161,17.2075,46.1225,78.24,37.4475,24649,-0.016,0.237,0,0,1,0
"56","La_Rioja",2015,0.7665,0.2335,0.0115,0.0084,15.3825,40.3525,66.5825,33.99,25507,0.037,0.272,0,0,0,1
"57","Madrid",2004,0.789,0.211,0.0049,0.0204,6.7375,15.7075,25.9475,13.815,26484,0.037,0.288,1,0,0,0
"58","Madrid",2008,0.7908,0.2092,0.0052,0.0095,8.6,20.77,35.5025,16.8225,32152,0.017,0.306,0,1,0,0
"59","Madrid",2011,0.7601,0.2399,0.0106,0.0104,16.3375,40.855,63.1775,36.4925,31041,0.001,0.331,0,0,1,0
"60","Madrid",2015,0.7775,0.2225,0.0064,0.0052,17.0575,44.1625,68.2525,40.015,31812,0.034,0.393,0,0,0,1
"61","Melilla",2004,0.558,0.442,0.0082,0.0158,17.5875,32.2475,28.98,33.0075,17524,0.02,0.259,1,0,0,0
"62","Melilla",2008,0.6368,0.3632,0.0074,0.0089,19.8925,38.115,61.52,33.3025,19546,0.006,0.24,0,1,0,0
"63","Melilla",2011,0.5283,0.4717,0.0113,0.0187,22.4075,64.35,75.5475,61.455,17773,-0.033,0.271,0,0,1,0
"64","Melilla",2015,0.533,0.467,0.0128,0.0107,33.9475,72.0925,84.145,69.96,17173,0.027,0.28,0,0,0,1
"65","Murcia",2004,0.771,0.229,0.0061,0.0142,10.7275,18.5575,27.72,15.9375,16841,0.031,0.372,1,0,0,0
"66","Murcia",2008,0.7958,0.2042,0.007,0.0074,12.43,23.33,33.085,19.9525,20354,0.022,0.417,0,1,0,0
"67","Murcia",2011,0.7552,0.2448,0.0093,0.0091,24.985,48.085,67.61,42.9525,18646,-0.03,0.445,0,0,1,0
"68","Murcia",2015,0.7296,0.2704,0.0087,0.0062,24.615,50.72,61.2775,48.345,18929,0.033,0.478,0,0,0,1
"69","Navarra",2004,0.762,0.238,0.0445,0.0189,5.5725,13.6425,25.7725,11.52,25034,0.033,0.259,1,0,0,0
"70","Navarra",2008,0.7206,0.2794,0.0069,0.0147,6.83,18.975,43.81,13.285,30128,0.023,0.306,0,1,0,0
"71","Navarra",2011,0.7135,0.2865,0.016,0.0203,12.9875,29.5525,53.51,25.225,28533,-0.008,0.351,0,0,1,0
"72","Navarra",2015,0.7428,0.2572,0.0088,0.0105,13.8275,38.3125,54.2,35.4225,28682,0.035,0.396,0,0,0,1
"73","Pais_Vasco",2004,0.75,0.25,0.0769,0.0124,9.8175,24.8275,38.7675,22.865,24732,0.027,0.233,1,0,0,0
"74","Pais_Vasco",2008,0.6403,0.3597,0.0098,0.0183,6.6225,19.475,38.51,16.125,31243,0.033,0.249,0,1,0,0
"75","Pais_Vasco",2011,0.692,0.308,0.0104,0.0114,12.3475,34.005,51.6175,31.87,29842,-0.009,0.253,0,0,1,0
"76","Pais_Vasco",2015,0.7145,0.2855,0.0068,0.0071,14.765,40.385,54.1475,38.67,30459,0.04,0.279,0,0,0,1
